id,name,email,age,cohort,graduation_date,mode
1,***,***,30,Data Engineering,2024-03-31,Online
2,***,***,25,Web development,2024-03-31,Online
3,***,***,40,Data Engineering,2024-03-31,Online
4,***,***,23,Software Engineering,2026-07-09,Online
5,***,***,35,Web development,2023-06-04,Online
6,***,***,45,Data Science,2022-11-21,In-person
7,***,***,33,Machine Learning,2026-07-28,In-person
8,***,***,22,Software Engineering,2027-04-15,Online
9,***,***,37,Web development,2024-01-26,In-person
10,***,***,43,Data Science,2026-03-27,Online
11,***,***,29,Data Engineering,2025-10-17,Online
12,***,***,28,Software Engineering,2026-01-24,Online
13,***,***,35,Machine Learning,2023-06-02,Online
14,***,***,35,Web development,2027-01-30,Online
15,***,***,37,Machine Learning,2025-09-14,In-person
16,***,***,37,Data Engineering,2027-03-10,Online
17,***,***,44,Software Engineering,2024-12-15,Online
18,***,***,45,Machine Learning,2023-09-18,In-person
19,***,***,37,Software Engineering,2027-09-02,Online
20,***,***,41,Data Science,2025-02-25,In-person
21,***,***,28,Data Science,2024-03-08,In-person
22,***,***,33,Web development,2026-03-09,Online
23,***,***,29,Software Engineering,2027-01-22,Online
24,***,***,27,Machine Learning,2024-08-16,Online
25,***,***,31,Data Science,2027-08-11,In-person
26,***,***,26,Machine Learning,2026-08-10,In-person
27,***,***,35,Data Science,2023-04-10,In-person
28,***,***,36,Machine Learning,2023-01-05,Online
29,***,***,24,Data Science,2025-10-21,In-person
30,***,***,28,Web development,2025-07-05,In-person
31,***,***,37,Web development,2026-03-28,In-person
32,***,***,26,Data Engineering,2024-09-12,Online
33,***,***,41,Data Science,2025-07-29,Online
34,***,***,25,Data Science,2027-02-26,In-person
35,***,***,26,Data Engineering,2027-02-07,In-person
36,***,***,37,Data Science,2024-10-11,In-person
37,***,***,38,Machine Learning,2025-02-09,Online
38,***,***,45,Data Engineering,2024-05-22,In-person
39,***,***,40,Web development,2027-09-20,Online
40,***,***,24,Data Science,2025-11-20,In-person
41,***,***,42,Web development,2022-10-25,Online
42,***,***,44,Web development,2027-09-03,Online
43,***,***,38,Software Engineering,2026-06-29,In-person
44,***,***,22,Web development,2024-07-04,In-person
45,***,***,29,Web development,2027-06-15,In-person
46,***,***,39,Web development,2026-08-02,In-person
47,***,***,35,Software Engineering,2024-05-13,In-person
48,***,***,33,Web development,2025-05-26,Online
49,***,***,30,Data Engineering,2026-04-24,Online
50,***,***,31,Data Engineering,2025-07-25,In-person
51,***,***,22,Data Engineering,2024-09-24,In-person
52,***,***,45,Data Science,2024-11-30,Online
53,***,***,41,Data Engineering,2027-03-30,In-person
54,***,***,43,Software Engineering,2025-08-30,Online
55,***,***,33,Data Engineering,2023-05-20,In-person
56,***,***,28,Web development,2027-02-14,Online
57,***,***,38,Software Engineering,2026-01-19,In-person
58,***,***,34,Data Science,2023-12-22,Online
59,***,***,22,Machine Learning,2027-09-10,In-person
60,***,***,38,Data Science,2027-03-29,Online
61,***,***,33,Software Engineering,2025-10-28,Online
62,***,***,38,Data Engineering,2027-03-01,In-person
63,***,***,44,Web development,2024-10-14,In-person
64,***,***,44,Data Science,2024-07-07,Online
65,***,***,22,Web development,2023-09-10,In-person
66,***,***,36,Software Engineering,2023-02-24,Online
67,***,***,30,Data Science,2025-05-05,In-person
68,***,***,25,Software Engineering,2026-01-09,Online
69,***,***,37,Software Engineering,2024-10-03,Online
70,***,***,25,Machine Learning,2023-11-06,Online
71,***,***,40,Machine Learning,2026-10-30,In-person
72,***,***,38,Data Science,2027-05-08,Online
73,***,***,45,Data Engineering,2026-04-09,In-person
74,***,***,45,Data Engineering,2023-07-08,In-person
75,***,***,22,Data Science,2025-05-12,In-person
76,***,***,40,Data Science,2024-07-01,In-person
77,***,***,28,Data Engineering,2025-05-25,In-person
78,***,***,45,Machine Learning,2024-05-30,In-person
79,***,***,26,Machine Learning,2026-08-30,In-person
80,***,***,41,Web development,2023-08-25,In-person
81,***,***,34,Web development,2027-07-06,Online
82,***,***,24,Software Engineering,2027-04-11,Online
83,***,***,33,Machine Learning,2024-02-07,Online
84,***,***,38,Data Science,2023-10-21,Online
85,***,***,41,Web development,2022-11-30,In-person
86,***,***,33,Machine Learning,2027-08-01,Online
87,***,***,27,Machine Learning,2025-03-01,Online
88,***,***,23,Data Engineering,2027-08-18,Online
89,***,***,30,Machine Learning,2026-12-25,In-person
90,***,***,39,Software Engineering,2025-06-29,In-person
91,***,***,44,Software Engineering,2022-11-15,Online
92,***,***,35,Software Engineering,2024-05-31,Online
93,***,***,41,Machine Learning,2025-02-02,Online
94,***,***,33,Machine Learning,2025-07-04,In-person
95,***,***,22,Machine Learning,2023-03-09,Online
96,***,***,43,Software Engineering,2024-08-14,In-person
97,***,***,32,Data Science,2026-01-15,In-person
98,***,***,30,Data Engineering,2026-01-25,In-person
99,***,***,27,Data Science,2026-09-26,In-person
100,***,***,36,Machine Learning,2024-04-12,In-person
101,***,***,44,Machine Learning,2026-09-11,Online
102,***,***,28,Web development,2023-03-11,In-person
103,***,***,23,Web development,2026-03-03,In-person
104,***,***,32,Web development,2025-01-30,In-person
105,***,***,41,Software Engineering,2027-10-04,In-person
106,***,***,45,Data Science,2027-05-09,In-person
107,***,***,25,Machine Learning,2023-12-31,In-person
108,***,***,44,Software Engineering,2025-09-27,In-person
109,***,***,24,Machine Learning,2026-12-14,Online
110,***,***,43,Data Engineering,2023-01-26,In-person
111,***,***,37,Machine Learning,2024-03-06,Online
112,***,***,44,Data Science,2026-08-15,Online
113,***,***,26,Machine Learning,2026-12-05,In-person
114,***,***,42,Data Engineering,2025-11-12,Online
115,***,***,30,Data Engineering,2024-12-10,Online
116,***,***,37,Data Engineering,2026-11-01,Online
117,***,***,32,Machine Learning,2023-09-20,In-person
118,***,***,43,Data Engineering,2024-03-20,Online
119,***,***,23,Data Science,2025-01-29,Online
120,***,***,44,Data Engineering,2027-02-25,Online
121,***,***,23,Software Engineering,2023-12-14,In-person
122,***,***,35,Data Science,2027-07-19,In-person
123,***,***,36,Software Engineering,2026-09-06,In-person
124,***,***,24,Web development,2026-03-30,In-person
125,***,***,30,Data Science,2024-09-15,Online
126,***,***,38,Web development,2023-06-07,In-person
127,***,***,34,Machine Learning,2025-09-19,Online
128,***,***,22,Data Engineering,2025-04-30,In-person
129,***,***,31,Data Science,2024-02-24,Online
130,***,***,36,Software Engineering,2026-01-29,Online
131,***,***,28,Data Engineering,2027-05-15,In-person
132,***,***,42,Data Engineering,2025-12-29,In-person
133,***,***,38,Software Engineering,2024-03-29,Online
134,***,***,31,Data Science,2023-04-17,In-person
135,***,***,42,Data Science,2023-10-16,In-person
136,***,***,38,Machine Learning,2023-06-29,In-person
137,***,***,25,Web development,2025-04-10,Online
138,***,***,37,Data Engineering,2025-07-31,Online
139,***,***,41,Data Science,2025-04-19,In-person
140,***,***,27,Machine Learning,2027-05-19,Online
141,***,***,42,Data Engineering,2024-02-18,In-person
142,***,***,42,Machine Learning,2025-06-06,In-person
143,***,***,30,Machine Learning,2027-07-14,In-person
144,***,***,32,Data Engineering,2023-09-20,Online
145,***,***,35,Data Engineering,2025-06-16,In-person
146,***,***,22,Data Science,2024-03-08,In-person
147,***,***,29,Data Engineering,2023-05-02,In-person
148,***,***,28,Data Science,2023-02-06,In-person
149,***,***,37,Machine Learning,2027-01-14,In-person
150,***,***,25,Data Science,2023-07-16,In-person
151,***,***,39,Data Engineering,2024-02-10,In-person
152,***,***,34,Web development,2027-02-08,In-person
153,***,***,22,Software Engineering,2024-02-27,Online
154,***,***,24,Machine Learning,2023-05-17,In-person
155,***,***,36,Machine Learning,2024-05-14,Online
156,***,***,43,Web development,2027-07-29,Online
157,***,***,44,Web development,2024-08-18,In-person
158,***,***,35,Data Science,2023-01-04,Online
159,***,***,23,Web development,2024-04-12,Online
160,***,***,43,Web development,2026-09-04,In-person
161,***,***,36,Data Science,2026-06-10,Online
162,***,***,27,Machine Learning,2022-12-11,Online
163,***,***,34,Web development,2024-08-04,Online
164,***,***,43,Data Engineering,2025-07-13,In-person
165,***,***,45,Web development,2022-11-04,Online
166,***,***,26,Machine Learning,2026-10-09,Online
167,***,***,42,Data Engineering,2024-02-20,In-person
168,***,***,22,Machine Learning,2027-02-01,In-person
169,***,***,41,Machine Learning,2024-06-07,In-person
170,***,***,42,Web development,2025-06-24,Online
171,***,***,33,Data Science,2024-12-24,Online
172,***,***,25,Machine Learning,2023-10-14,In-person
173,***,***,24,Machine Learning,2026-02-11,In-person
174,***,***,38,Machine Learning,2027-06-01,In-person
175,***,***,33,Data Science,2024-09-11,Online
176,***,***,36,Machine Learning,2023-06-16,Online
177,***,***,32,Software Engineering,2024-05-16,Online
178,***,***,40,Machine Learning,2025-09-04,Online
179,***,***,25,Software Engineering,2025-02-06,Online
180,***,***,22,Web development,2023-03-20,In-person
181,***,***,27,Machine Learning,2024-01-20,In-person
182,***,***,39,Data Science,2024-04-26,In-person
183,***,***,42,Data Engineering,2027-07-07,Online
184,***,***,45,Software Engineering,2027-05-18,Online
185,***,***,44,Data Engineering,2027-04-01,Online
186,***,***,36,Data Science,2026-09-02,In-person
187,***,***,45,Web development,2023-12-07,In-person
188,***,***,24,Data Engineering,2026-02-28,Online
189,***,***,22,Web development,2026-10-13,Online
190,***,***,27,Data Science,2024-11-05,Online
191,***,***,43,Machine Learning,2024-12-29,Online
192,***,***,31,Machine Learning,2026-12-08,In-person
193,***,***,30,Data Science,2023-08-07,In-person
194,***,***,24,Data Engineering,2027-10-13,In-person
195,***,***,29,Web development,2023-06-07,In-person
196,***,***,43,Software Engineering,2022-10-23,In-person
197,***,***,23,Data Engineering,2025-02-28,In-person
198,***,***,23,Data Science,2025-06-14,Online
199,***,***,43,Data Engineering,2027-04-18,In-person
200,***,***,40,Machine Learning,2024-07-22,Online
201,***,***,32,Data Engineering,2024-04-12,In-person
202,***,***,44,Data Engineering,2024-12-13,Online
203,***,***,37,Data Science,2025-01-14,Online
204,***,***,45,Machine Learning,2025-08-22,In-person
205,***,***,31,Web development,2023-10-08,In-person
206,***,***,38,Software Engineering,2027-05-01,Online
207,***,***,41,Machine Learning,2027-02-12,Online
208,***,***,44,Web development,2025-01-11,In-person
209,***,***,25,Data Science,2026-05-12,In-person
210,***,***,43,Data Science,2022-11-09,Online
211,***,***,35,Data Science,2027-08-19,In-person
212,***,***,45,Web development,2024-12-18,Online
213,***,***,27,Data Science,2025-03-21,In-person
214,***,***,27,Data Science,2023-08-22,In-person
215,***,***,22,Software Engineering,2023-02-01,Online
216,***,***,45,Data Science,2026-08-01,In-person
217,***,***,41,Software Engineering,2027-05-30,In-person
218,***,***,40,Machine Learning,2023-10-06,Online
219,***,***,39,Software Engineering,2024-07-22,Online
220,***,***,25,Data Engineering,2023-06-22,In-person
221,***,***,30,Data Engineering,2024-10-13,Online
222,***,***,43,Software Engineering,2023-11-24,Online
223,***,***,39,Data Science,2024-03-12,Online
224,***,***,36,Machine Learning,2027-05-31,In-person
225,***,***,44,Software Engineering,2023-12-02,Online
226,***,***,36,Machine Learning,2024-09-17,Online
227,***,***,25,Data Science,2025-10-13,Online
228,***,***,26,Machine Learning,2026-10-02,In-person
229,***,***,28,Software Engineering,2024-12-06,Online
230,***,***,28,Data Engineering,2023-01-21,In-person
231,***,***,22,Web development,2026-09-02,In-person
232,***,***,35,Data Science,2026-09-30,In-person
233,***,***,24,Web development,2026-12-02,In-person
234,***,***,33,Software Engineering,2025-09-27,Online
235,***,***,45,Data Science,2024-04-24,Online
236,***,***,34,Web development,2023-01-21,Online
237,***,***,39,Software Engineering,2024-04-16,In-person
238,***,***,30,Data Engineering,2025-04-16,Online
239,***,***,42,Web development,2024-10-17,Online
240,***,***,40,Data Engineering,2027-03-03,In-person
241,***,***,31,Software Engineering,2023-02-08,In-person
242,***,***,24,Machine Learning,2026-07-31,Online
243,***,***,40,Web development,2024-12-24,In-person
244,***,***,42,Data Engineering,2026-09-10,In-person
245,***,***,32,Web development,2027-05-03,In-person
246,***,***,42,Data Engineering,2023-05-23,In-person
247,***,***,28,Data Engineering,2025-11-24,In-person
248,***,***,39,Data Engineering,2025-08-17,Online
249,***,***,32,Web development,2025-09-02,Online
250,***,***,42,Data Engineering,2023-02-02,Online
251,***,***,28,Software Engineering,2024-01-17,In-person
252,***,***,24,Data Engineering,2026-04-27,In-person
253,***,***,45,Data Science,2023-05-15,In-person
254,***,***,25,Software Engineering,2024-07-27,In-person
255,***,***,24,Web development,2024-06-05,In-person
256,***,***,26,Machine Learning,2027-09-18,In-person
257,***,***,30,Software Engineering,2023-09-10,Online
258,***,***,36,Data Science,2022-12-13,In-person
259,***,***,45,Data Engineering,2027-07-30,Online
260,***,***,44,Data Engineering,2024-09-19,Online
261,***,***,45,Data Engineering,2026-04-25,Online
262,***,***,43,Data Engineering,2027-10-07,Online
263,***,***,45,Web development,2027-10-16,Online
264,***,***,30,Web development,2026-02-24,Online
265,***,***,37,Machine Learning,2026-12-21,Online
266,***,***,23,Data Science,2024-04-14,Online
267,***,***,27,Software Engineering,2026-11-23,In-person
268,***,***,45,Web development,2025-05-09,In-person
269,***,***,25,Web development,2024-11-08,Online
270,***,***,22,Data Engineering,2027-03-18,Online
271,***,***,41,Software Engineering,2026-11-06,Online
272,***,***,24,Software Engineering,2025-11-29,In-person
273,***,***,30,Data Engineering,2024-05-26,Online
274,***,***,34,Machine Learning,2027-09-07,In-person
275,***,***,35,Software Engineering,2024-01-08,Online
276,***,***,24,Machine Learning,2024-08-17,In-person
277,***,***,23,Data Science,2024-11-12,Online
278,***,***,24,Data Engineering,2026-06-01,In-person
279,***,***,42,Web development,2023-05-24,In-person
280,***,***,27,Data Science,2027-09-16,Online
281,***,***,44,Data Engineering,2027-03-27,Online
282,***,***,40,Machine Learning,2023-06-19,In-person
283,***,***,34,Data Science,2026-03-31,Online
284,***,***,32,Software Engineering,2026-02-17,Online
285,***,***,37,Machine Learning,2026-10-22,In-person
286,***,***,26,Data Science,2022-12-27,Online
287,***,***,29,Software Engineering,2026-07-22,In-person
288,***,***,24,Data Science,2025-08-31,In-person
289,***,***,44,Data Engineering,2025-03-16,Online
290,***,***,37,Machine Learning,2027-01-26,Online
291,***,***,34,Data Science,2025-02-02,Online
292,***,***,29,Machine Learning,2024-04-28,In-person
293,***,***,38,Web development,2026-09-13,Online
294,***,***,33,Web development,2024-01-23,Online
295,***,***,42,Data Engineering,2025-12-11,In-person
296,***,***,38,Data Engineering,2025-05-09,Online
297,***,***,38,Data Engineering,2022-12-24,In-person
298,***,***,39,Data Science,2024-06-20,In-person
299,***,***,25,Web development,2025-08-05,Online
300,***,***,27,Data Science,2023-05-23,Online
301,***,***,34,Software Engineering,2023-11-23,In-person
302,***,***,36,Data Science,2023-03-02,In-person
303,***,***,34,Data Engineering,2023-09-03,In-person
304,***,***,23,Machine Learning,2026-12-24,Online
305,***,***,44,Software Engineering,2023-04-02,In-person
306,***,***,27,Data Science,2025-09-05,In-person
307,***,***,27,Web development,2026-09-06,Online
308,***,***,43,Software Engineering,2027-04-30,In-person
309,***,***,31,Web development,2026-02-19,In-person
310,***,***,31,Web development,2024-01-17,In-person
311,***,***,23,Data Engineering,2022-11-26,Online
312,***,***,38,Web development,2025-12-26,In-person
313,***,***,28,Data Engineering,2027-03-15,In-person
314,***,***,28,Data Science,2026-01-16,Online
315,***,***,45,Software Engineering,2023-08-21,Online
316,***,***,30,Web development,2027-02-28,In-person
317,***,***,33,Web development,2023-01-07,In-person
318,***,***,22,Data Science,2023-07-05,In-person
319,***,***,30,Data Engineering,2023-04-04,In-person
320,***,***,31,Software Engineering,2025-11-05,In-person
321,***,***,44,Data Engineering,2027-04-18,Online
322,***,***,29,Data Science,2024-10-11,Online
323,***,***,38,Data Science,2025-01-08,In-person
324,***,***,30,Data Science,2026-05-21,In-person
325,***,***,34,Data Engineering,2023-04-16,In-person
326,***,***,37,Web development,2025-10-02,Online
327,***,***,25,Web development,2027-03-31,Online
328,***,***,34,Data Science,2027-07-04,Online
329,***,***,34,Data Science,2023-05-16,Online
330,***,***,41,Software Engineering,2023-06-20,In-person
331,***,***,30,Data Engineering,2026-02-28,Online
332,***,***,45,Data Science,2024-11-25,Online
333,***,***,25,Data Engineering,2025-01-28,In-person
334,***,***,29,Machine Learning,2027-08-23,In-person
335,***,***,23,Data Science,2027-07-12,In-person
336,***,***,42,Software Engineering,2023-02-16,In-person
337,***,***,26,Data Engineering,2024-03-28,In-person
338,***,***,39,Web development,2024-08-15,Online
339,***,***,45,Data Science,2024-12-13,Online
340,***,***,36,Machine Learning,2026-06-26,In-person
341,***,***,44,Data Science,2025-02-25,In-person
342,***,***,34,Machine Learning,2023-06-06,Online
343,***,***,29,Software Engineering,2025-04-07,In-person
344,***,***,35,Machine Learning,2024-09-18,Online
345,***,***,42,Software Engineering,2027-09-24,In-person
346,***,***,35,Machine Learning,2024-12-18,In-person
347,***,***,38,Web development,2023-04-20,Online
348,***,***,33,Data Engineering,2023-03-18,In-person
349,***,***,25,Software Engineering,2027-09-30,In-person
350,***,***,25,Software Engineering,2024-08-27,In-person
351,***,***,44,Machine Learning,2024-09-25,In-person
352,***,***,41,Machine Learning,2024-12-14,In-person
353,***,***,34,Data Engineering,2026-05-15,In-person
354,***,***,26,Web development,2026-11-08,Online
355,***,***,29,Software Engineering,2025-12-15,Online
356,***,***,30,Machine Learning,2025-05-09,In-person
357,***,***,36,Data Science,2025-08-18,In-person
358,***,***,40,Data Science,2026-09-09,Online
359,***,***,38,Software Engineering,2027-08-16,Online
360,***,***,29,Web development,2024-01-02,In-person
361,***,***,37,Machine Learning,2027-07-06,In-person
362,***,***,24,Data Engineering,2026-01-03,Online
363,***,***,27,Data Science,2023-01-20,Online
364,***,***,35,Data Engineering,2026-06-17,Online
365,***,***,42,Machine Learning,2025-02-12,Online
366,***,***,44,Machine Learning,2024-11-11,In-person
367,***,***,29,Software Engineering,2023-11-09,Online
368,***,***,28,Machine Learning,2027-10-15,In-person
369,***,***,38,Data Science,2023-08-04,Online
370,***,***,23,Data Science,2023-05-11,In-person
371,***,***,43,Data Engineering,2025-08-09,In-person
372,***,***,28,Web development,2025-02-27,Online
373,***,***,41,Software Engineering,2023-10-31,In-person
